Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25056153	42.29107137132851	38.0	101.0	101	27.27272727272727	49308542.0
SRR25056154	51.25532290940742	40.0	101.0	101	36.36363636363637	68071525.0
SRR25056155	41.56512967413526	39.0	101.0	101	27.27272727272727	53614154.0
SRR25056156	47.86029166415907	39.0	101.0	101	27.27272727272727	72419679.0
SRR25056157	45.98242549347583	39.0	101.0	101	27.27272727272727	75971858.0
SRR25056158	51.61697203557387	39.0	101.0	101	36.36363636363637	76157234.0
SRR25056159	39.44091471162062	38.0	101.0	101	27.27272727272727	56729807.0
SRR25056160	54.843865766656215	39.0	101.0	101	36.36363636363637	81374548.0
SRR25056161	53.955660891588906	40.0	101.0	101	36.36363636363637	66149895.0
SRR25056162	57.870799954976	40.0	101.0	101	36.36363636363637	84507819.0
