Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25056153	43.54941606352111	40.0	82.26042441036864	100	18.181818181818183	48918786.0
SRR25056154	53.4929527568803	41.0	80.99570383226542	100	27.27272727272727	67211994.0
SRR25056155	42.99693441219012	41.0	80.67395596024777	100	18.181818181818183	53152933.0
SRR25056156	50.88726101865973	41.0	77.65811575415027	100	27.27272727272727	71148274.0
SRR25056157	47.41068089073337	40.0	81.47827001301181	100	18.181818181818183	75359272.0
SRR25056158	54.51421193688798	41.0	76.90867859842812	100	27.27272727272727	74958924.0
SRR25056159	42.21679457339671	40.0	76.47661404703963	100	18.181818181818183	55831892.0
SRR25056160	57.91267718310878	41.0	76.5389909377251	100	27.27272727272727	80023505.0
SRR25056161	55.67769820937502	41.0	78.27448513386847	100	27.27272727272727	65518827.0
SRR25056162	61.70550916425218	41.0	74.2330537101267	100	27.27272727272727	82924567.0
