Sample_File	Condition	Replicate	SRA_ID	GEO_ID	BioSample_ID
SRR25056153	Control	Rep1	SRS18093828	GSM7518124	SAMN36028312
SRR25056154	Control	Rep2	SRS18093829	GSM7518125	SAMN36028311
SRR25056155	THZ531_4h	Rep1	SRS18093830	GSM7518126	SAMN36028310
SRR25056156	THZ531_4h	Rep2	SRS18093831	GSM7518127	SAMN36028309
SRR25056157	SRPIN340_4h	Rep1	SRS18093832	GSM7518128	SAMN36028308
SRR25056158	SRPIN340_4h	Rep2	SRS18093834	GSM7518129	SAMN36028307
SRR25056159	Endovion_4h	Rep1	SRS18093833	GSM7518130	SAMN36028306
SRR25056160	Endovion_4h	Rep2	SRS18093835	GSM7518131	SAMN36028305
SRR25056161	THZ531_Endovion_4h	Rep1	SRS18093836	GSM7518132	SAMN36028304
SRR25056162	THZ531_Endovion_4h	Rep2	SRS18093837	GSM7518133	SAMN36028303
